co,no2,nox,pm10,pm25,relativehumidity,temperature
1.57,144.0,0.0846,261.0,139.0,84.0,12.0
3.64,115.2,0.1454,433.0,273.0,87.0,10.1
2.14,123.7,0.0717,171.0,74.0,73.0,13.8
1.13,95.9,0.0745,355.0,188.0,88.0,12.1
3.325,30.6,0.0193999999999999,130.0,31.0,90.0,12.8
3.25,66.9,0.0387,163.0,78.0,80.0,13.1
2.19,128.2,0.0751,224.0,134.0,78.0,13.3
3.94,98.9,0.1779,333.0,182.0,93.0,8.7
1.52,103.8,0.0679,210.0,110.0,94.0,11.0
2.82,129.2,0.1207999999999999,287.0,168.0,92.0,10.7
2.2,97.0,0.0602,184.0,78.0,91.0,11.2
4.14,101.1,0.0591,317.0,243.0,80.0,14.0
1.51,135.7,0.0777,269.0,110.0,43.0,14.0
3.24,68.8,0.04,152.0,62.0,80.0,12.6
2.18,167.9,0.1029,260.0,119.0,77.0,11.1
1.53,135.2,0.0815999999999999,267.0,118.0,91.0,11.3
2.43,110.0,0.1052999999999999,252.0,140.0,90.0,10.4
2.27,136.7,0.0795999999999999,183.0,79.0,86.0,12.2
3.37,120.1,0.1044,280.0,130.0,90.0,11.4
2.42,127.8,0.0742999999999999,219.0,97.0,71.0,14.1
1.52,118.4,0.0855,179.0,79.0,95.0,8.4
2.4,128.4,0.0769,219.0,97.0,69.0,14.1
1.06,51.5,0.0291,156.0,37.5,46.0,15.3
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.39,55.5,0.0325,269.0,127.0,94.0,12.2
1.75,127.8,0.0780999999999999,143.0,77.0,93.0,11.9
2.44,104.0,0.0639,191.0,69.0,84.0,12.0
2.55,124.1,0.0724,223.0,81.0,63.0,15.1
2.32,140.2,0.0815999999999999,188.0,67.0,87.0,12.0
0.4,63.4,0.0355,257.0,81.0,48.0,15.3
1.95,208.5,0.1207,266.0,151.0,55.0,13.1
2.05,149.1,0.0970999999999999,217.0,102.0,83.0,10.2
3.73,74.6,0.177,480.0,259.0,90.0,10.0
1.74,102.3,0.0638,143.0,52.0,93.0,10.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.22,110.4,0.0663,226.0,111.0,92.0,11.4
3.34,67.3,0.0541,223.0,127.0,93.0,12.4
1.64,136.5,0.1005,277.0,125.0,93.0,11.7
3.11,52.5,0.0304,80.0,20.0,73.0,13.7
